appid,name,developer,publisher,score_rank,owners,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,initialprice,discount,tags,languages,genre
1836120,QUICKERFLAK,Walter Machado,Walter Machado,,"200,000 .. 500,000",42,61,73,61,24,27.0,99.0,73.0,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Bulgarian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong>, Korean<strong>*</strong>, Danish<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Finnish<strong>*</strong>, Greek<strong>*</strong>, Dutch<strong>*</strong>, Hungarian<strong>*</strong>, Japanese<strong>*</strong>, Norwegian<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Portuguese - Portugal<strong>*</strong>, Romanian<strong>*</strong>, Russian<strong>*</strong>, Swedish<strong>*</strong>, Thai<strong>*</strong>, Czech<strong>*</strong>, Turkish<strong>*</strong>, Ukrainian<strong>*</strong>, Vietnamese<strong>*</strong>, Arabic<strong>*</strong>, Afrikaans<strong>*</strong>, Albanian<strong>*</strong>, Amharic<strong>*</strong>, Armenian<strong>*</strong>, Assamese<strong>*</strong>, Azerbaijani<strong>*</strong>, Basque<strong>*</strong>, Bangla<strong>*</strong>, Belarusian<strong>*</strong>, Bosnian<strong>*</strong>, Kannada<strong>*</strong>, Catalan<strong>*</strong>, Kazakh<strong>*</strong>, Cherokee<strong>*</strong>, Sinhala<strong>*</strong>, Konkani<strong>*</strong>, Croatian<strong>*</strong>, Dari<strong>*</strong>, Slovak<strong>*</strong>, Slovenian<strong>*</strong>, Estonian<strong>*</strong>, Filipino<strong>*</strong>, Galician<strong>*</strong>, Welsh<strong>*</strong>, Georgian<strong>*</strong>, Gujarati<strong>*</strong>, Hausa<strong>*</strong>, Hebrew<strong>*</strong>, Hindi<strong>*</strong>, Igbo<strong>*</strong>, Indonesian<strong>*</strong>, Yoruba<strong>*</strong>, Irish<strong>*</strong>, Icelandic<strong>*</strong>, Khmer<strong>*</strong>, Latvian<strong>*</strong>, Lithuanian<strong>*</strong>, Luxembourgish<strong>*</strong>, Macedonian<strong>*</strong>, Malayalam<strong>*</strong>, Malay<strong>*</strong>, Maltese<strong>*</strong>, Maori<strong>*</strong>, Marathi<strong>*</strong>, Mongolian<strong>*</strong>, Nepali<strong>*</strong>, Odia<strong>*</strong>, Punjabi (Gurmukhi)<strong>*</strong>, Punjabi (Shahmukhi)<strong>*</strong>, Persian<strong>*</strong>, K'iche'<strong>*</strong>, Kinyarwanda<strong>*</strong>, Kyrgyz<strong>*</strong>, Quechua<strong>*</strong>, Sotho<strong>*</strong>, Sindhi<strong>*</strong>, Sorani<strong>*</strong>, Swahili<strong>*</strong>, Serbian<strong>*</strong>, Tajik<strong>*</strong>, Tigrinya<strong>*</strong>, Tswana<strong>*</strong>, Turkmen<strong>*</strong>, Tatar<strong>*</strong>, Tamil<strong>*</strong>, Telugu<strong>*</strong>, Uyghur<strong>*</strong>, Wolof<strong>*</strong>, Urdu<strong>*</strong>, Uzbek<strong>*</strong>, Valencian<strong>*</strong>, Xhosa<strong>*</strong>, Zulu<strong>*</strong>, Scots<strong>*</strong><br><strong>*</strong>languages with full audio support","Action, Adventure, Casual, Indie"
478980,Mansions of Madness,Fantasy Flight Games,Fantasy Flight Games,,"200,000 .. 500,000",1569,0,405,0,24,0.0,0.0,0.0,"Single-player, Multi-player, Co-op, Shared/Split Screen, Remote Play Together","English<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, Japanese<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Czech, Korean, Russian, Simplified Chinese, Thai<strong>*</strong>, Ukrainian<strong>*</strong><br><strong>*</strong>languages with full audio support","Adventure, Strategy"
468070,90 Minute Fever - Football (Soccer) Manager MMO,Isokron,Isokron,,"0 .. 20,000",56,0,56,0,24,0.0,0.0,0.0,"Multi-player, MMO, In-App Purchases","English, Greek, Portuguese - Brazil, Bosnian, Simplified Chinese","Massively Multiplayer, Simulation, Sports"
1119980,In Sound Mind,We Create Stuff,Maximum Entertainment,,"500,000 .. 1,000,000",289,0,303,0,24,3499.0,3499.0,0.0,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Portuguese - Brazil<br><strong>*</strong>languages with full audio support","Action, Indie"
1836730,Echo Point Nova,Greylock Studio,Greylock Studio,,"100,000 .. 200,000",0,0,0,0,24,2499.0,2499.0,0.0,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","English, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese, Turkish","Action, Adventure, Indie"
289950,Construction Simulator 2015,weltenbauer. Software Entwicklung GmbH,astragon Entertainment,,"500,000 .. 1,000,000",798,0,812,0,24,1499.0,1499.0,0.0,"Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian, Japanese, Portuguese - Brazil, Turkish","Casual, Simulation"
1798010,Mega Man Battle Network Legacy Collection Vol. 1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,"100,000 .. 200,000",79,1,79,1,24,3999.0,3999.0,0.0,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","English, Japanese, Simplified Chinese, Traditional Chinese","Action, RPG"
1562940,THE LEGEND OF HEROES: HAJIMARI NO KISEKI,Nihon Falcom,Clouded Leopard Entertainment,,"50,000 .. 100,000",0,0,0,0,24,5999.0,5999.0,0.0,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Traditional Chinese, Japanese<strong>*</strong>, Korean<br><strong>*</strong>languages with full audio support",RPG
2067780,Your Turn To Die -Death Game By Majority-,Nankidai,0UP GAMES,,"100,000 .. 200,000",0,0,0,0,24,1699.0,1699.0,0.0,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","English, Japanese","Adventure, Indie, Early Access"
1603640,The House of Da Vinci 3,Blue Brain Games,Blue Brain Games,,"50,000 .. 100,000",386,0,556,0,24,1999.0,1999.0,0.0,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Czech<strong>*</strong>, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Turkish, Russian, Ukrainian<br><strong>*</strong>languages with full audio support","Adventure, Indie"
